"CONFRONTO_CASA","CONFRONTO_FORA","posse_casa","posse_fora","ataques_casa","ataques_fora","ataques_perigosos_casa","ataques_perigosos_fora","ResultFT"
Flamengo,CSA,"60","40","96","75","43","15",CASA
Avaí,Palmeiras,"44","56","53","74","18","36",FORA
Grêmio,Botafogo,"47","53","70","79","33","21",CASA
São Paulo,Atlético Mineiro,"58","42","68","78","38","30",CASA
Athletico PR,Goiás,"65","35","85","67","46","26",CASA
Cruzeiro,Fortaleza,"65","35","75","63","42","21",EMPATE
Fluminense,Chapecoense,"65","35","100","76","65","38",EMPATE
Bahia,Internacional,"57","43","69","77","34","33",FORA
Ceará,Vasco da Gama,"63","37","73","59","36","14",EMPATE
Corinthians,Santos,"44","56","95","75","57","44",EMPATE
Botafogo,CSA,"45","55","83","70","46","44",CASA
Chapecoense,Goiás,"50","50","70","78","29","42",EMPATE
Athletico PR,Palmeiras,"53","47","77","90","44","31",EMPATE
Flamengo,Fluminense,"57","43","69","36","40","19",CASA
Internacional,Vasco da Gama,"65","35","88","64","46","31",FORA
Atlético Mineiro,Santos,"36","64","60","78","32","33",CASA
São Paulo,Avaí,"72","28","101","62","64","13",CASA
Corinthians,Cruzeiro,"55","45","83","85","41","32",FORA
Fortaleza,Grêmio,"39","61","68","80","35","33",CASA
Fluminense,Athletico PR,"47","53","73","80","28","36",FORA
Santos,Ceará,"57","43","76","59","57","39",CASA
Avaí,Internacional,"40","60","71","89","25","50",FORA
Vasco da Gama,Botafogo,"43","57","53","57","32","35",CASA
Goiás,Corinthians,"46","54","65","74","36","34",EMPATE
Cruzeiro,São Paulo,"47","53","78","70","34","30",CASA
Palmeiras,Chapecoense,"63","37","90","74","60","19",CASA
Fortaleza,Flamengo,"36","64","42","78","17","34",FORA
Grêmio,Bahia,"59","41","80","80","47","32",FORA
CSA,Atlético Mineiro,"45","55","77","83","35","46",EMPATE
Atlético Mineiro,Grêmio,"44","56","71","87","39","43",FORA
Chapecoense,Cruzeiro,"61","39","90","71","43","30",EMPATE
São Paulo,Corinthians,"57","43","87","83","47","27",CASA
Internacional,Santos,"50","50","87","75","56","41",EMPATE
Vasco da Gama,Fortaleza,"65","35","71","43","43","17",CASA
Athletico PR,Flamengo,"52","48","67","74","31","37",FORA
Palmeiras,Botafogo,"52","48","76","70","47","26",CASA
Fluminense,Bahia,"49","51","72","78","33","36",CASA
Goiás,CSA,"53","47","94","73","42","25",CASA
Flamengo,Atlético Mineiro,"70","30","89","54","53","25",CASA
Corinthians,Athletico PR,"45","55","86","89","41","30",EMPATE
Avaí,Vasco da Gama,"48","52","84","95","30","31",EMPATE
Cruzeiro,Fluminense,"53","47","90","74","44","30",EMPATE
Santos,Palmeiras,"53","47","76","73","46","41",CASA
Grêmio,Ceará,"65","35","100","69","51","32",CASA
Bahia,São Paulo,"40","60","74","84","33","31",EMPATE
Botafogo,Goiás,"42","58","74","83","37","43",CASA
CSA,Internacional,"34","66","67","91","28","45",CASA
CSA,Avaí,"40","60","74","92","34","43",CASA
Palmeiras,Atlético Mineiro,"64","36","77","68","52","21",EMPATE
Botafogo,Fluminense,"49","51","83","73","58","53",FORA
Chapecoense,Flamengo,"36","64","68","102","22","54",FORA
Cruzeiro,Internacional,"56","44","87","72","38","34",EMPATE
Grêmio,Corinthians,"60","40","85","76","57","23",EMPATE
Bahia,Athletico PR,"46","54","89","83","49","49",FORA
São Paulo,Fortaleza,"58","42","69","51","28","19",CASA
Vasco da Gama,Santos,"51","49","62","62","31","28",FORA
Atlético Mineiro,Vasco da Gama,"50","50","74","78","42","43",FORA
Chapecoense,Corinthians,"52","48","96","89","41","32",FORA
Fortaleza,Botafogo,"50","50","51","72","38","30",CASA
Avaí,Bahia,"54","46","74","77","31","24",FORA
Goiás,Cruzeiro,"36","64","72","95","22","47",CASA
Atlético Mineiro,Ceará,"55","45","82","70","55","34",CASA
Athletico PR,Chapecoense,"68","32","86","68","62","25",EMPATE
Internacional,Palmeiras,"56","44","84","72","45","28",EMPATE
Santos,CSA,"60","40","91","77","63","47",CASA
Fluminense,Grêmio,"44","56","68","71","42","46",CASA
Corinthians,Vasco da Gama,"53","47","77","86","30","49",CASA
Flamengo,São Paulo,"58","42","85","70","44","25",EMPATE
Athletico PR,Fortaleza,"60","40","84","52","48","26",CASA
Grêmio,Avaí,"50","50","82","82","26","28",CASA
Fluminense,Santos,"45","55","71","72","32","36",EMPATE
Palmeiras,CSA,"63","37","97","49","40","25",CASA
São Paulo,Goiás,"68","32","65","58","47","19",FORA
Flamengo,Internacional,"64","36","86","44","52","14",CASA
Bahia,Botafogo,"56","44","63","47","42","15",CASA
Ceará,Cruzeiro,"50","50","84","73","34","36",EMPATE
Avaí,Atlético Mineiro,"39","61","70","97","36","52",CASA
Goiás,Fluminense,"35","65","63","82","28","39",CASA
Fortaleza,Palmeiras,"43","57","60","85","29","34",FORA
Vasco da Gama,Athletico PR,"50","50","77","65","48","40",EMPATE
CSA,Ceará,"46","54","85","88","30","40",CASA
Internacional,Chapecoense,"62","38","88","60","46","22",CASA
Santos,Grêmio,"58","42","86","88","47","33",FORA
Corinthians,Bahia,"48","52","70","83","34","33",CASA
Cruzeiro,Flamengo,"44","56","68","79","31","38",FORA
Botafogo,São Paulo,"51","49","82","79","49","55",FORA
São Paulo,CSA,"69","31","78","69","45","22",EMPATE
Grêmio,Goiás,"62","38","83","74","43","40",CASA
Fluminense,Corinthians,"45","55","77","83","32","43",CASA
Bahia,Fortaleza,"55","45","60","45","30","20",EMPATE
Atlético Mineiro,Internacional,"60","40","88","78","54","38",FORA
