"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Vasco da Gama,Ceará,10,0,21,0,15,0,3,0,0,1,6,0,1,0,2,0,4,0,0,2,CASA
Internacional,Bahia,0,6,0,4,0,4,0,3,3,0,3,0,0,7,0,8,0,0,1,0,CASA
Santos,Corinthians,4,0,8,0,7,0,0,2,0,9,7,0,4,0,0,9,0,1,2,0,CASA
CSA,Flamengo,0,34,0,11,0,25,0,1,17,0,0,6,0,9,0,4,0,9,2,0,FORA
Fortaleza,Cruzeiro,4,0,3,0,7,0,6,0,2,0,0,2,0,1,0,7,1,0,0,5,CASA
Botafogo,Grêmio,0,8,0,6,0,9,4,0,2,0,0,1,0,0,1,0,0,3,0,1,FORA
Goiás,Chapecoense,10,0,16,0,19,0,1,0,0,8,3,0,3,0,2,0,0,0,0,3,CASA
Santos,Atlético Mineiro,8,0,17,0,12,0,1,0,0,7,1,0,5,0,0,7,0,1,0,1,CASA
Fluminense,Flamengo,14,0,0,6,0,6,2,0,0,2,4,0,3,0,0,2,3,0,0,3,EMPATE
CSA,Botafogo,0,6,0,7,3,0,0,13,0,4,3,0,5,0,0,5,6,0,9,0,FORA
Avaí,São Paulo,0,20,0,8,0,5,0,0,4,0,1,0,0,5,0,10,0,6,2,0,EMPATE
Grêmio,Fortaleza,32,0,13,0,36,0,0,2,0,11,3,0,7,0,10,0,9,0,0,0,CASA
Cruzeiro,Corinthians,0,10,0,1,12,0,3,0,0,5,5,0,8,0,0,4,6,0,0,0,EMPATE
Palmeiras,Athletico PR,2,0,11,0,17,0,10,0,0,12,1,0,11,0,7,0,0,0,0,11,CASA
Vasco da Gama,Internacional,0,28,0,20,0,18,7,0,5,0,0,3,0,3,0,2,0,10,0,3,CASA
Internacional,Avaí,16,0,12,0,4,0,0,1,0,4,2,0,0,1,1,0,0,2,0,0,CASA
Atlético Mineiro,CSA,28,0,16,0,14,0,6,0,0,13,4,0,9,0,7,0,9,0,0,7,CASA
Chapecoense,Palmeiras,2,0,0,1,0,1,5,0,0,4,0,0,2,0,0,4,0,2,0,6,FORA
Ceará,Santos,0,6,4,0,2,0,8,0,2,0,0,0,0,0,0,0,2,0,0,6,FORA
São Paulo,Cruzeiro,0,6,0,10,0,8,1,0,0,0,0,1,0,2,7,0,0,4,3,0,EMPATE
Athletico PR,Fluminense,2,0,8,0,16,0,0,4,0,2,2,0,0,3,0,5,2,0,3,0,CASA
Botafogo,Vasco da Gama,2,0,6,0,0,3,1,0,0,1,0,3,0,5,0,2,0,5,0,0,CASA
Bahia,Grêmio,8,0,1,0,12,0,7,0,0,2,3,0,4,0,19,0,6,0,0,2,CASA
Flamengo,Fortaleza,16,0,27,0,16,0,0,12,0,2,2,0,8,0,0,9,6,0,10,0,CASA
Avaí,Ceará,0,4,9,0,12,0,0,11,0,1,3,0,3,0,5,0,3,0,9,0,FORA
CSA,Goiás,0,10,0,11,0,8,0,10,0,0,0,1,0,0,0,13,0,6,7,0,CASA
Cruzeiro,Chapecoense,22,0,3,0,5,0,0,1,0,2,0,1,4,0,3,0,3,0,0,0,FORA
Corinthians,São Paulo,0,10,0,4,0,11,0,2,2,0,0,0,0,1,0,1,0,1,4,0,CASA
Bahia,Fluminense,0,14,0,10,0,3,5,0,2,0,2,0,0,3,0,6,0,0,0,2,CASA
Santos,Internacional,14,0,0,4,0,8,4,0,4,0,0,1,0,5,2,0,3,0,0,1,EMPATE
Flamengo,Athletico PR,18,0,2,0,1,0,4,0,0,1,0,2,5,0,0,2,7,0,0,6,CASA
Grêmio,Atlético Mineiro,12,0,19,0,21,0,3,0,0,10,2,0,8,0,0,7,9,0,0,3,CASA
Vasco da Gama,Avaí,0,2,0,1,0,5,0,0,3,0,0,5,1,0,0,9,0,5,2,0,EMPATE
Internacional,CSA,22,0,27,0,27,0,0,4,0,2,3,0,0,0,0,0,1,0,4,0,CASA
Chapecoense,Fortaleza,8,0,8,0,14,0,0,2,0,5,0,2,10,0,0,13,5,0,5,0,FORA
Goiás,Botafogo,0,18,5,0,20,0,0,11,0,11,4,0,8,0,2,0,6,0,3,0,CASA
Athletico PR,Corinthians,22,0,11,0,22,0,0,4,0,11,3,0,7,0,9,0,8,0,5,0,FORA
São Paulo,Bahia,18,0,9,0,21,0,8,0,3,0,1,0,0,7,0,3,0,2,0,10,EMPATE
Atlético Mineiro,Flamengo,0,34,0,17,0,12,0,3,5,0,0,3,0,3,2,0,0,16,3,0,CASA
Palmeiras,Santos,0,18,0,2,0,7,0,4,2,0,0,1,0,0,0,0,0,0,3,0,CASA
Fluminense,Cruzeiro,14,0,10,0,15,0,0,7,0,3,6,0,2,0,8,0,8,0,7,0,CASA
Fortaleza,São Paulo,4,0,0,1,0,2,1,0,0,3,2,0,1,0,0,0,2,0,0,3,FORA
Avaí,CSA,30,0,19,0,22,0,0,1,0,2,3,0,1,0,8,0,6,0,0,5,EMPATE
